K,Dimension,Number of Points,Time,Distribution
1,2,102400,9.3965e-05,Gaussian
2,2,102400,0.000230412,Gaussian
3,2,102400,0.000403666,Gaussian
4,2,102400,0.000672454,Gaussian
5,2,102400,0.000889703,Gaussian
6,2,102400,0.00103379,Gaussian
7,2,102400,0.00123523,Gaussian
8,2,102400,0.00150096,Gaussian
9,2,102400,0.00171332,Gaussian
10,2,102400,0.00178892,Gaussian
11,2,102400,0.00197956,Gaussian
1,2,204800,0.000142105,Gaussian
2,2,204800,0.000351311,Gaussian
3,2,204800,0.000596082,Gaussian
4,2,204800,0.000966703,Gaussian
5,2,204800,0.00128596,Gaussian
6,2,204800,0.00149356,Gaussian
7,2,204800,0.00179749,Gaussian
8,2,204800,0.00219453,Gaussian
9,2,204800,0.00251212,Gaussian
10,2,204800,0.00264208,Gaussian
11,2,204800,0.00296001,Gaussian
1,2,409600,0.00022754,Gaussian
2,2,409600,0.000760099,Gaussian
3,2,409600,0.00128598,Gaussian
4,2,409600,0.00190431,Gaussian
5,2,409600,0.00242528,Gaussian
6,2,409600,0.00280138,Gaussian
7,2,409600,0.0032955,Gaussian
8,2,409600,0.0039207,Gaussian
9,2,409600,0.00451126,Gaussian
10,2,409600,0.00474108,Gaussian
11,2,409600,0.00522606,Gaussian
1,2,819200,0.000256291,Gaussian
2,2,819200,0.000681526,Gaussian
3,2,819200,0.00117796,Gaussian
4,2,819200,0.00184102,Gaussian
5,2,819200,0.00252056,Gaussian
6,2,819200,0.00295222,Gaussian
7,2,819200,0.00361382,Gaussian
8,2,819200,0.00440082,Gaussian
9,2,819200,0.00499876,Gaussian
10,2,819200,0.0052446,Gaussian
11,2,819200,0.00582576,Gaussian
1,3,50,1.12782e-05,Uniform
2,3,50,1.40935e-05,Uniform
3,3,50,1.70131e-05,Uniform
4,3,50,2.16524e-05,Uniform
5,3,50,2.67308e-05,Uniform
6,3,50,2.88373e-05,Uniform
7,3,50,3.0434e-05,Uniform
8,3,50,3.28492e-05,Uniform
9,3,50,3.46291e-05,Uniform
10,3,50,3.53881e-05,Uniform
11,3,50,3.68868e-05,Uniform
1,3,100,1.24074e-05,Uniform
2,3,100,1.71394e-05,Uniform
3,3,100,2.15302e-05,Uniform
4,3,100,2.59154e-05,Uniform
5,3,100,2.91769e-05,Uniform
6,3,100,3.264e-05,Uniform
7,3,100,3.50992e-05,Uniform
8,3,100,4.00833e-05,Uniform
